,brand,description,link,processed_text
80,Amazon Brand - Symbol,Men Sweatshirt,https://www.amazon.in/Amazon-Brand-Sweatshirt-AW18MNSSW07C_Desert-Yellow_L/dp/B08F62Z7BY,amazon brand symbol men sweatshirt
81,aarbee,Men's Blended V-Neck Sweater,https://www.amazon.in/aarbee-Blended-Sweater-Black-Large/dp/B0178FS9SY,aarbe men blend neck sweater
82,Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Pastel Lilac_2XL_Pastel Lilac_2XL),https://www.amazon.in/Amazon-Brand-Symbol-Solid-Kurta/dp/B09MR6JG8R,amazon brand symbol men cotton regular kurta symethlkur pastel lilac 2xl pastel lilac 2xl
83,Amazon Brand - Symbol,Men Sweatshirt,https://www.amazon.in/Amazon-Brand-Sweatshirt-AW19MNSSW58_Vintage-Maroon_L/dp/B07TNRPXDM,amazon brand symbol men sweatshirt
84,Arrow,Men's Slim Shirt,https://www.amazon.in/Arrow-Sports-Solid-Shirt-ASCTSH1754_Turquoise/dp/B094N54LS3,arrow men slim shirt
85,Qube By Fort Collins,Men's Jacket,https://www.amazon.in/Qube-Fort-Collins-Jacket-12139_Antique_L/dp/B07SH1F74M,qube fort collin men jacket
86,GRITSTONES,Full Sleeves Cotton Fleece Hooded Sweatshirt with Kangaroo Pocket GSFSSWTSHT2239-P,https://www.amazon.in/GRITSTONES-GSFSSWTSHT2239GMEL-Mens-Sweatshirt-GSFSSWTSHT2239GMEL_Grey_Large/dp/B07LFYSSGD,gritston full sleev cotton fleec hood sweatshirt kangaroo pocket gsfsswtsht2239
87,Amazon Brand - Symbol,Cotton Men's Kurtas (SYMETHLKUR-4_Mustard_S),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_-Mustard_/dp/B08Q4LMS93,amazon brand symbol cotton men kurta symethlkur mustard
88,Amazon Brand - Symbol,Cotton Men's Kurtas (SYMETHLKUR-4_Mustard_2XL),https://www.amazon.in/Amazon-Brand-SYMETHLKUR-4_-Mustard_-XX-Large/dp/B08Q4N4ZRB,amazon brand symbol cotton men kurta symethlkur mustard 2xl
89,Amazon Brand - House & Shields,Men's Cotton Blend Neck Hooded Sweatshirt (HSS-21_Desert Yellow_M),https://www.amazon.in/Amazon-Brand-Sweatshirt-HSS-21_Desert-Yellow_M/dp/B08F638ZDV,amazon brand hous shield men cotton blend neck hood sweatshirt hss desert yellow
90,teknik,"Unisex Quick-Dry Dry Fit Ultralight Water Resistant Sports Cap (Pack of 1, Free Size)",https://www.amazon.in/Teknik-Quick-Dry-Ultralight-Resistant-Sports/dp/B07TC6K3R2,teknik unisex quick dri dri fit ultralight water resist sport cap pack free size
91,Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Plum_3XL_Plum_3XL),https://www.amazon.in/Amazon-Brand-Symbol-Casual-SYMETHLKUR-4_Plum_3XL/dp/B09NP3NR6J,amazon brand symbol men cotton regular kurta symethlkur plum 3xl plum 3xl
92,CHKOKKO,Men's Regular Fit V Neck Half Sleeves Plain Sports and Gym T-Shirt Mustard Size M,https://www.amazon.in/CHKOKKO-Polyester-Sleeves-Sports-T-Shirt/dp/B07ZB1JN5N,chkokko men regular fit neck half sleev plain sport gym shirt mustard size
93,Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Brunnera Blue_XL_Brunnera Blue_XL),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_Brunnera-Blue_XL/dp/B09NP3CVY6,amazon brand symbol men cotton regular kurta symethlkur brunnera blue brunnera blue
94,Amazon Brand - Symbol,Casual Men's Kurta (SYMETHLKUR-4_Capu Olive_3XL),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_Capu-Olive_3XL/dp/B09NP5DXSY,amazon brand symbol casual men kurta symethlkur capu oliv 3xl
95,Amazon Brand - Symactive,Men Sports Sweatshirt,https://www.amazon.in/Amazon-Brand-Symactive-AW21-SYM-SWT-06_Jet-Black_Medium/dp/B095YWZNYJ,amazon brand symact men sport sweatshirt
