brand,description,link
VSTAR,Women's Viscose Plain Half Sleeve Comfy Blouse,https://www.amazon.in/VSTAR-Blouse-Perfect-Readymade-Blouse_Black_M/dp/B07RXC3J9J
Jockey,1301 Women's Super Combed Cotton Elastane Stretch Slim Fit Trackpants with Side Pockets,https://www.amazon.in/Jockey-Womens-Relaxed-1301_Wine-Tasting_X-Large/dp/B07JHFDCXV
Amayra,Women's A-Line Knee Length Dress,https://www.amazon.in/Amayra-Womens-Rayon-Line-Medium/dp/B07KYT33XQ
DUMMY SHAPE,Women's Cotton Rayon Green Maternity & Feeding Casual Wear Long Kurti Dress,https://www.amazon.in/DUMMY-SHAPE-Womens-Maternity-Feeding/dp/B08HN5Z7D1
Womanista,Women's Floral Printed Poly Georgette Saree with Mirror Lace (TKIM811_Black),https://www.amazon.in/Womanista-georgette-blouse-TKIM811_-Black_/dp/B08286D6QQ
Amayra,Women's Cotton Straight Embroidery Kurti,https://www.amazon.in/Amayra-Women-Cotton-Straight-Embroidery/dp/B07HB5PHQC
ZUVINO,Women's Casual Stylish Peplum Top with Puffed Sleeves,https://www.amazon.in/ZUVINO-Womens-Stylish-Sleeves-XX-Large/dp/B09NMNP8RL
Jockey,Women's Cotton Capri Pants (1300-0105-BLACKXX-Large),https://www.amazon.in/Jockey-Womens-Cotton-Capri-1300-0105-BLACKXX-Large/dp/B00MIPLXB0
Ada,Lucknowi Chikankari Hand Embroidered Straigh Cotton Kurta Kurti Tunic for Women A188048,https://www.amazon.in/Womens-Cotton-Black-Kurta-M188048_Medium/dp/B073GQP15V
Alan Jones Clothing,Women's Cotton Hooded Neck Sweatshirt,https://www.amazon.in/Alan-Jones-Clothing-Sweatshirt-Green_2XL/dp/B09MCZH98N
AELOMART,Women's Cotton Regular Top(AWT2053-Pn),https://www.amazon.in/AELOMART-Womens-Cotton-Mustard-AWT2053MDW-P/dp/B07PFVX82B
Studio Shringaar,Women's Maxi Skirt Lehenga,https://www.amazon.in/STUDIO-SHRINGAAR-WOMENS-SKIRT-LEHENGA/dp/B082W6P5PX
Alan Jones Clothing,Women's Slim Fit Trackpants,https://www.amazon.in/Alan-Jones-Clothing-WM20-JOG-P08-NAVY-M_Navy-Blue_Medium/dp/B08B4SWQ6P
Van Heusen,Athleisure Women T-Shirt,https://www.amazon.in/Van-Heusen-Womens-55403_Candy-Coral_XL/dp/B07J5PBNY9
